Date,open_price,high_price,low_price,last_price,vwap_price,change_prev_close_percentage,num_trades,volume,turnover
2024-04-30,266.00,268.00,266.00,268.00,266.47962747381,0.75,40,859.00000,228906.00
2024-04-29,266.00,266.00,266.00,266.00,266.00000000000,0.00,15,145.00000,38570.00
2024-04-26,266.00,266.00,264.00,266.00,265.62025316456,0.00,13,79.00000,20984.00
2024-04-25,260.00,270.00,260.00,266.00,264.55151515152,3.91,52,990.00000,261906.00
2024-04-24,256.00,258.00,256.00,256.00,256.54761904762,0.00,9,84.00000,21550.00
2024-04-23,258.00,258.00,256.00,256.00,256.95652173913,-0.78,5,23.00000,5910.00
2024-04-22,256.00,258.00,256.00,258.00,257.77777777778,0.00,7,72.00000,18560.00
2024-04-19,258.00,258.00,258.00,258.00,258.00000000000,0.00,1,6.00000,1548.00
2024-04-18,260.00,260.00,256.00,258.00,257.47368421053,0.00,12,266.00000,68488.00
2024-04-16,260.00,262.00,258.00,258.00,259.92825112108,0.00,14,223.00000,57964.00
2024-04-15,258.00,262.00,258.00,258.00,258.15873015873,-0.77,14,126.00000,32528.00
2024-04-12,256.00,260.00,256.00,260.00,258.39823008850,2.36,28,226.00000,58398.00
2024-04-11,256.00,256.00,254.00,254.00,254.08612440191,-0.78,13,209.00000,53104.00
2024-04-10,256.00,256.00,256.00,256.00,256.00000000000,0.00,3,7.00000,1792.00
2024-04-09,258.00,260.00,256.00,256.00,257.90881458967,-0.78,24,329.00000,84852.00
2024-04-08,258.00,258.00,256.00,258.00,257.83486238532,-0.77,7,109.00000,28104.00
2024-04-05,258.00,260.00,258.00,260.00,258.16129032258,0.00,5,62.00000,16006.00
2024-04-04,260.00,262.00,260.00,260.00,260.42105263158,0.78,5,19.00000,4948.00
2024-04-03,260.00,260.00,256.00,258.00,259.06451612903,0.00,6,62.00000,16062.00
2024-04-02,258.00,258.00,258.00,258.00,258.00000000000,-0.77,11,152.00000,39216.00
2024-03-28,266.00,268.00,260.00,260.00,260.78414839798,-1.52,31,1186.00000,309290.00
2024-03-27,266.00,266.00,262.00,264.00,262.13866666667,-0.75,14,750.00000,196604.00
2024-03-26,264.00,266.00,264.00,266.00,264.18691588785,0.76,7,107.00000,28268.00
2024-03-25,268.00,268.00,264.00,264.00,264.54037267081,-2.22,21,644.00000,170364.00
